gene_id,transcript_id,Gene_id,protein_id
YEL002C,NM_001178817.3,856716,NP_010914.3
YEL001C,NM_001178816.1,856717,NP_010915.1
YER001W,NM_001178892.1,856718,NP_010916.1
YER002W,NM_001178893.3,856719,NP_010917.3
YER003C,NM_001178894.1,856720,NP_010918.1
YER003C,NM_001178894.1,856720,NP_010918.1
YER004W,NM_001178895.1,856721,NP_010919.1
YER005W,NM_001178896.3,856722,NP_010920.3
YER006W,NM_001178897.1,856723,NP_010921.1
YER007W,NM_001178898.1,856724,NP_010922.1
YER007C-A,NM_001180857.3,856725,NP_010923.3
YER007C-A,NM_001180857.3,856725,NP_010923.3
YER008C,NM_001178899.1,856726,NP_010924.1
YER009W,NM_001178900.1,856727,NP_010925.1
YER010C,NM_001178901.3,856728,NP_010926.3
YER011W,NM_001178902.1,856729,NP_010927.1
YER012W,NM_001178903.1,856731,NP_010928.1
YER013W,NM_001178904.3,856732,NP_010929.3
YER014W,NM_001178905.1,856733,NP_010930.1
YER014C-A,NM_001184456.1,856735,NP_076437.1
YER014C-A,NM_001184456.1,856735,NP_076437.1
YER015W,NM_001178906.3,856734,NP_010931.3
YER016W,NM_001178907.1,856736,NP_010932.1
YER017C,NM_001178908.1,856737,NP_010933.1
YER018C,NM_001178909.3,856738,NP_010934.3
YER019W,NM_001178910.1,856739,NP_010935.1
YER019C-A,NM_001180031.1,856740,NP_010936.1
YER020W,NM_001178911.3,856741,NP_010937.3
YER021W,NM_001178912.1,856742,NP_010938.1
YER022W,NM_001178913.1,856743,NP_010939.1
YER023W,NM_001178914.3,856744,NP_010940.3
YER024W,NM_001178915.1,856745,NP_010941.1
YER025W,NM_001178916.1,856746,NP_010942.1
YER026C,NM_001178917.3,856748,NP_010943.3
YER027C,NM_001178918.1,856749,NP_010944.1
YER028C,NM_001178919.1,856750,NP_010945.1
YER029C,NM_001178920.3,856751,NP_010946.3
YER030W,NM_001178921.1,856752,NP_010947.2
YER031C,NM_001178922.1,856753,NP_010948.1
YER032W,NM_001178923.3,856754,NP_010949.4
YER033C,NM_001178924.1,856755,NP_010950.1
YER034W,NM_001178925.1,856756,NP_010951.1
YER035W,NM_001178926.3,856757,NP_010952.3
YER036C,NM_001178927.1,856758,NP_010953.1
YER037W,NM_001178928.1,856759,NP_010954.1
YER038C,NM_001178929.3,856760,NP_010955.3
YER038W-A,NM_001301348.1,20098144,NP_001288277.1
YER039C,NM_001178930.1,856761,NP_010956.1
YER039C-A,NM_001184319.1,856762,NP_010957.1
YER040W,NM_001178931.3,856763,NP_010958.3
YER041W,NM_001178932.2,856764,NP_010959.2
YER042W,NM_001178933.1,856765,NP_010960.1
YER043C,NM_001178934.3,856766,NP_010961.3
YER044C,NM_001178935.1,856767,NP_010962.1
YER044C-A,NM_001180023.1,856768,NP_010963.1
YER044C-A,NM_001180023.1,856768,NP_010963.1
YER045C,NM_001178936.3,856769,NP_010964.3
YER046W,NM_001178937.1,856770,NP_010965.1
YER047C,NM_001178938.1,856771,NP_010966.1
YER048C,NM_001178939.3,856772,NP_010967.3
YER048W-A,NM_001184330.1,856774,NP_010968.1
YER049W,NM_001178940.1,856775,NP_010969.1
YER050C,NM_001178941.3,856776,NP_010970.4
YER051W,NM_001178942.1,856777,NP_010971.1
YER052C,NM_001178943.1,856778,NP_010972.1
YER053C,NM_001178944.3,856779,NP_010973.3
YER053C-A,NM_001184444.1,856780,NP_061492.1
YER054C,NM_001178945.1,856781,NP_010974.1
YER055C,NM_001178946.3,856782,NP_010975.3
YER056C,NM_001178947.1,856783,NP_010976.1
YER056C-A,NM_001180036.1,856784,NP_010977.2
YER056C-A,NM_001180036.1,856784,NP_010977.2
YER057C,NM_001178948.3,856785,NP_010978.3
YER058W,NM_001178949.1,856786,NP_010979.1
YER059W,NM_001178950.1,856787,NP_010980.1
YER060W,NM_001178951.3,856788,NP_010981.3
YER060W-A,NM_001180858.1,856789,NP_010982.1
YER061C,NM_001178952.2,856790,NP_010983.2
YER062C,NM_001178953.3,856791,NP_010984.3
YER063W,NM_001178954.1,856792,NP_010985.1
YER064C,NM_001178955.1,856793,NP_010986.1
YER065C,NM_001178956.3,856794,NP_010987.3
YER066W,NM_001178957.1,856796,NP_010988.1
YER067W,NM_001178958.1,856797,NP_010990.1
YER068W,NM_001178959.3,856799,NP_010991.3
YER069W,NM_001178960.1,856800,NP_010992.1
YER070W,NM_001178961.1,856801,NP_010993.1
YER071C,NM_001178962.3,856802,NP_010994.3
YER072W,NM_001178963.1,856803,NP_010995.1
YER073W,NM_001178964.2,856804,NP_010996.2
YER074W,NM_001178965.3,856805,NP_010997.3
YER074W,NM_001178965.3,856805,NP_010997.3
YER074W-A,NM_001184512.1,856806,NP_219496.2
YER074W-A,NM_001184512.1,856806,NP_219496.2
YER074W-A,NM_001184512.1,856806,NP_219496.2
YER075C,NM_001178966.2,856807,NP_010998.2
YER076C,NM_001178967.3,856809,NP_010999.3
YER077C,NM_001178968.1,856810,NP_011000.1
YER078C,NM_001178969.1,856811,NP_011001.1
YER078W-A,NM_001184548.3,1466536,NP_878068.3
YER079W,NM_001178970.1,856812,NP_011002.1
YER080W,NM_001178971.1,856813,NP_011003.1
YER081W,NM_001178972.3,856814,NP_011004.3
YER082C,NM_001178973.1,856815,NP_011005.1
YER083C,NM_001178974.1,856817,NP_011006.2
YER084W,NM_001270744.1,856816,NP_001257673.1
YER085C,NM_001178976.3,856818,NP_011008.3
YER086W,NM_001178977.1,856819,NP_011009.1
YER087W,NM_001178978.1,856820,NP_011010.1
YER087C-B,NM_001180032.3,856821,NP_011011.3
YER088C,NM_001178979.3,856822,NP_011012.3
YER089C,NM_001178980.1,856823,NP_011013.1
YER090W,NM_001178981.1,856824,NP_011014.1
YER091C,NM_001178982.3,856825,NP_011015.3
YER092W,NM_001178983.3,856827,NP_011017.3
YER093C,NM_001178984.1,856828,NP_011018.1
YER093C-A,NM_001180860.1,856829,NP_011019.1
YER093C-A,NM_001180860.1,856829,NP_011019.1
YER094C,NM_001178985.3,856830,NP_011020.3
YER095W,NM_001178986.3,856831,NP_011021.3
YER096W,NM_001178987.1,856832,NP_011022.1
YER098W,NM_001178989.1,856835,NP_011024.1
YER099C,NM_001178990.3,856836,NP_011025.3
YER100W,NM_001178991.3,856837,NP_011026.3
YER101C,NM_001178992.1,856838,NP_011027.1
YER102W,NM_001178993.1,856839,NP_011028.1
YER103W,NM_001178994.3,856840,NP_011029.3
YER104W,NM_001178995.3,856841,NP_011030.3
YER105C,NM_001178996.1,856842,NP_011031.1
YER106W,NM_001178997.1,856843,NP_011032.1
YER107C,NM_001178998.3,856844,NP_011033.3
YER109C,,856845,
YER110C,NM_001179000.1,856846,NP_011035.1
YER111C,NM_001179001.1,856847,NP_011036.1
YER112W,NM_001179002.3,856848,NP_011037.3
YER113C,NM_001179003.3,856849,NP_011038.3
YER114C,NM_001179004.1,856850,NP_011039.1
YER115C,NM_001179005.1,856851,NP_011040.1
YER116C,NM_001179006.3,856852,NP_011041.3
YER117W,NM_001179007.3,856853,NP_011042.3
YER117W,NM_001179007.3,856853,NP_011042.3
YER118C,NM_001179008.1,856854,NP_011043.1
YER119C,NM_001179009.1,856855,NP_011044.1
YER120W,NM_001179010.3,856856,NP_011046.3
YER121W,NM_001179011.3,856858,NP_011047.3
YER122C,NM_001179012.1,856859,NP_011048.1
YER123W,NM_001179013.1,856860,NP_011049.2
YER124C,NM_001179014.3,856861,NP_011050.3
YER125W,NM_001179015.3,856862,NP_011051.3
YER126C,NM_001179016.1,856863,NP_011052.1
YER127W,NM_001179017.1,856864,NP_011053.1
YER128W,NM_001179018.3,856865,NP_011054.3
YER129W,NM_001179019.3,856866,NP_011055.3
YER130C,NM_001179020.1,856867,NP_011056.1
YER131W,NM_001179021.1,856868,NP_011057.1
YER132C,NM_001179022.3,856869,NP_011058.3
YER133W,NM_001179023.3,856870,NP_011059.3
YER133W,NM_001179023.3,856870,NP_011059.3
YER134C,NM_001179024.1,856873,NP_011060.1
YER135C,NM_001348826.1,856874,NP_001335768.1
YER136W,NM_001179026.1,856876,NP_011062.1
YER137C,NM_001179027.3,856877,NP_011063.3
YER138C,NM_001179028.4,856879,NP_011064.3
YER138C,NM_001179028.4,856879,NP_011064.3
YER137C-A,NM_001184428.1,856880,NP_058155.1
YER138W-A,NM_001184332.1,856881,NP_011065.1
YER139C,NM_001179029.3,856882,NP_011066.3
YER140W,NM_001179030.3,856883,NP_011067.3
YER141W,NM_001179031.1,856884,NP_011068.1
YER142C,NM_001179032.1,856885,NP_011069.1
YER143W,NM_001179033.3,856886,NP_011070.3
YER144C,NM_001179034.3,856887,NP_011071.3
YER145C,NM_001179035.1,856888,NP_011072.1
YER145C-A,NM_001348827.1,31009439,NP_001335769.1
YER146W,NM_001179036.1,856889,NP_011073.1
YER147C,NM_001179037.3,856890,NP_011074.3
YER148W,NM_001179038.3,856891,NP_011075.3
YER149C,NM_001179039.1,856892,NP_011076.1
YER150W,NM_001179040.1,856893,NP_011077.1
YER151C,NM_001179041.3,856895,NP_011078.3
YER152C,NM_001179042.3,856896,NP_011079.3
YER153C,NM_001179043.1,856897,NP_011080.1
YER154W,NM_001179044.1,856898,NP_011081.1
YER155C,NM_001179045.3,856899,NP_011082.3
YER156C,NM_001179046.3,856900,NP_011083.3
YER157W,NM_001179047.1,856901,NP_011084.1
YER158C,NM_001179048.1,856903,NP_011085.1
YER159C,NM_001179049.3,856904,NP_011086.3
YER160C,NM_001179050.4,856906,NP_011087.3
YER160C,NM_001179050.4,856906,NP_011087.3
YER159C-A,NM_001184429.1,856907,NP_058156.1
YER161C,NM_001179051.1,856908,NP_011088.1
YER162C,NM_001179052.4,856909,NP_011089.4
YER163C,NM_001179053.3,856910,NP_011090.3
YER164W,NM_001179054.1,856911,NP_011091.1
YER165W,NM_001179055.1,856912,NP_011092.1
YER166W,NM_001179056.3,856913,NP_011093.3
YER167W,NM_001179057.3,856914,NP_011094.3
YER168C,NM_001179058.1,856915,NP_011095.1
YER169W,NM_001179059.1,856916,NP_011096.1
YER170W,NM_001179060.3,856917,NP_011097.3
YER171W,NM_001179061.3,856918,NP_011098.3
YER172C,NM_001179062.1,856919,NP_011099.1
YER173W,NM_001179063.1,856920,NP_011100.1
YER174C,NM_001179064.3,856921,NP_011101.3
YER175C,NM_001179065.3,856922,NP_011102.3
YER175W-A,NM_001184589.1,1466537,NP_878069.1
YER176W,NM_001179066.1,856923,NP_011103.1
YER177W,NM_001179067.3,856924,NP_011104.3
YER178W,NM_001179068.3,856925,NP_011105.4
YER179W,NM_001179069.1,856926,NP_011106.1
YER179W,NM_001179069.1,856926,NP_011106.1
YER180C,NM_001179070.1,856927,NP_011107.1
YER180C-A,NM_001184517.3,856928,NP_796378.3
YER181C,NM_001348828.1,856930,NP_001335770.1
YER182W,NM_001179072.3,856931,NP_011109.3
YER183C,NM_001179073.1,856932,NP_011110.1
YER184C,NM_001179074.1,856933,NP_011111.1
YER185W,NM_001179075.3,856934,NP_011112.3
YER186C,NM_001179076.3,856935,NP_011113.3
YER187W,NM_001179077.1,856937,NP_011114.1
YER188W,NM_001348829.1,856938,NP_001335771.1
YER188C-A,NM_001184633.1,1466538,NP_878070.1
YER189W,NM_001179079.3,856939,NP_011116.3
YER190W,NM_001179080.3,856940,NP_011117.3
YER190C-B,NM_001184590.1,4594642,NP_001073292.1
YFL068W,NM_001179899.1,850476,NP_116587.1
YFL067W,NM_001179900.1,850477,NP_116588.1
YFL066C,NM_001179901.1,850478,NP_116589.1
YFL065C,NM_001179902.1,850479,NP_116590.1
YFL064C,NM_001179903.1,850480,NP_116591.1
YFL062W,NM_001179905.1,850482,NP_116593.1
YFL061W,NM_001179906.1,850483,NP_116594.1
YFL060C,NM_001179907.1,850484,NP_116595.1
YFL059W,NM_001179908.1,850485,NP_116596.1
YFL058W,NM_001179909.1,850486,NP_116597.1
YFL055W,NM_001179912.1,850489,NP_116600.1
YFL054C,NM_001179913.1,850490,NP_116601.1
YFL053W,NM_001179914.1,850491,NP_116602.1
YFL052W,NM_001179915.1,850492,NP_116603.1
YFL051C,NM_001179916.1,850493,NP_116576.1
YFL050C,NM_001179917.1,850494,NP_116604.1
YFL049W,NM_001179918.1,850495,NP_116605.1
YFL048C,NM_001179919.1,850496,NP_116606.1
YFL047W,NM_001179920.1,850497,NP_428268.1
YFL046W,NM_001179921.1,850498,NP_116608.1
YFL045C,NM_001179922.1,850499,NP_116609.1
YFL044C,NM_001179923.1,850500,NP_116610.1
YFL042C,NM_001179924.1,850501,NP_116611.1
YFL041W-A,NM_001184549.1,1466401,NP_878071.1
YFL041W,NM_001179925.1,850502,NP_116612.1
YFL040W,NM_001179926.1,850503,NP_116613.1
YFL039C,NM_001179927.1,850504,NP_116614.1
YFL039C,NM_001179927.1,850504,NP_116614.1
YFL038C,NM_001179928.1,850505,NP_116615.1
YFL037W,NM_001179929.1,850506,NP_116616.1
YFL036W,NM_001179930.1,850507,NP_116617.1
YFL034C-B,NM_001179931.1,850508,NP_116618.1
YFL034C-B,NM_001179931.1,850508,NP_116618.1
YFL034C-A,NM_001184310.1,850509,NP_116619.1
YFL034C-A,NM_001184310.1,850509,NP_116619.1
YFL034W,NM_001179932.2,850510,NP_116583.2
YFL033C,NM_001179933.1,850511,NP_116620.1
YFL031W,NM_001179935.1,850513,NP_116622.1
YFL031W,NM_001179935.1,850513,NP_116622.1
YFL030W,NM_001179936.1,850514,NP_116623.1
YFL029C,NM_001179937.1,850515,NP_116624.1
YFL028C,NM_001179938.1,850516,NP_116625.1
YFL027C,NM_001179939.1,850517,NP_444296.1
YFL026W,NM_001179940.2,850518,NP_116627.2
YFL025C,NM_001179941.1,850519,NP_116628.1
YFL024C,NM_001179942.1,850520,NP_116629.1
YFL023W,NM_001179943.1,850521,NP_683715.1
YFL022C,NM_001179944.2,850522,NP_116631.1
YFL021W,NM_001179945.1,850523,NP_116632.1
YFL020C,NM_001179946.1,850524,NP_116633.1
YFL019C,NM_001348831.1,850525,NP_001335772.1
YFL018C,NM_001179948.1,850527,NP_116635.1
YFL017W-A,NM_001180864.1,850528,NP_116636.1
YFL017C,NM_001179949.1,850529,NP_116637.1
YFL016C,NM_001179950.1,850530,NP_116638.1
YFL015C,NM_001348832.1,850531,NP_001335773.1
YFL014W,NM_001179952.1,850532,NP_116640.1
YFL013C,NM_001179953.1,850534,NP_116641.1
YFL012W,NM_001179954.1,850535,NP_116643.1
YFL011W,NM_001179955.1,850536,NP_116644.1
YFL010W-A,NM_001180024.1,850537,NP_116645.1
YFL010C,NM_001179956.1,850538,NP_570898.1
YFL009W,NM_001179957.1,850539,NP_116585.1
YFL008W,NM_001179958.1,850540,NP_116647.1
YFL007W,NM_001179959.1,850541,NP_116648.2
YFL005W,NM_001179961.1,850543,NP_116650.1
YFL004W,NM_001179962.1,850544,NP_116651.1
YFL003C,NM_001179963.1,850545,NP_116652.1
YFL002W-A,NM_001180862.2,850548,NP_116653.1
YFL002W-A,NM_001180862.2,850548,NP_116653.1
YFL002W-B,NM_001184430.1,850547,NP_058157.1
YFL002C,NM_001179964.1,850549,NP_116654.1
YFL001W,NM_001179965.1,850550,NP_116655.1
YFR001W,NM_001179966.1,850551,NP_116656.1
YFR002W,NM_001179967.1,850552,NP_116657.1
YFR003C,NM_001179968.1,850553,NP_116658.1
YFR004W,NM_001179969.1,850554,NP_116659.1
YFR005C,NM_001179970.1,850555,NP_116660.1
YFR006W,NM_001179971.1,850556,NP_116661.1
YFR007W,NM_001179972.1,850558,NP_116662.1
YFR008W,NM_001179973.1,850559,NP_116663.1
YFR009W,NM_001179974.1,850561,NP_116664.1
YFR010W,NM_001179975.1,850562,NP_116665.1
YFR011C,NM_001179976.1,850563,NP_116666.1
YFR012W,NM_001179977.1,850565,NP_116667.1
YFR012W-A,NM_001184472.1,850566,NP_076889.1
YFR013W,NM_001179978.1,850567,NP_116668.1
YFR014C,NM_001179979.2,850568,NP_116669.1
YFR015C,NM_001179980.1,850569,NP_116670.1
YFR016C,NM_001179981.1,850570,NP_116671.1
YFR017C,NM_001179982.1,850572,NP_116672.1
YFR018C,NM_001179983.1,850573,NP_116673.1
YFR019W,NM_001179984.2,850574,NP_116674.2
YFR020W,NM_001270745.1,850576,NP_001257674.1
YFR021W,NM_001179986.1,850577,NP_444297.1
YFR022W,NM_001179987.3,850578,NP_116677.3
YFR023W,NM_001179988.1,850579,NP_116678.1
YFR024C-A,NM_001180865.3,850580,NP_219497.4
YFR024C-A,NM_001180865.3,850580,NP_219497.4
YFR025C,NM_001179990.1,850581,NP_116681.1
YFR026C,NM_001179991.3,850583,NP_116682.3
YFR027W,NM_001179992.1,850584,NP_116683.1
YFR028C,NM_001179993.3,850585,NP_116684.3
YFR029W,NM_001179994.1,850587,NP_116685.1
YFR030W,NM_001179995.3,850588,NP_116686.3
YFR031C,NM_001179996.2,850589,NP_116687.1
YFR031C-A,NM_001180030.3,850590,NP_116688.3
YFR031C-A,NM_001180030.3,850590,NP_116688.3
YFR032C,NM_001179997.1,850591,NP_116689.1
YFR032C-A,NM_001184311.3,850592,NP_116690.3
YFR032C-B,NM_001184591.1,1466402,NP_878072.1
YFR033C,NM_001179998.3,850593,NP_116691.3
YFR034C,NM_001179999.1,850594,NP_116692.1
YFR035C,NM_001180000.3,850595,NP_116693.3
YFR036W,NM_001180001.1,850597,NP_116694.1
YFR037C,NM_001180002.3,850598,NP_116695.3
YFR038W,NM_001180003.1,850599,NP_116696.2
YFR039C,NM_001180004.3,850600,NP_116697.3
YFR040W,NM_001180005.2,850601,NP_116698.3
YFR041C,NM_001180006.3,850602,NP_116699.3
YFR042W,NM_001180007.1,850603,NP_116700.1
YFR043C,NM_001180008.3,850604,NP_116701.3
YFR044C,NM_001180009.1,850605,NP_116702.1
YFR045W,NM_001180010.3,850606,NP_116703.5
YFR045W,NM_001180010.3,850606,NP_116703.5
YFR046C,NM_001180011.1,850607,NP_116704.1
YFR047C,NM_001180012.3,850608,NP_602317.3
YFR048W,NM_001180013.1,850609,NP_683716.1
YFR049W,NM_001180014.3,850610,NP_116707.3
YFR050C,NM_001180015.1,850611,NP_116708.1
YFR051C,NM_001180016.3,850612,NP_116709.3
YFR052W,NM_001180017.1,850613,NP_116710.1
YFR053C,NM_001180018.3,850614,NP_116711.3
YFR054C,NM_001348833.1,850615,NP_001335774.1
YFR055W,NM_001180021.1,850616,NP_116714.1
YFR057W,NM_001180022.3,850618,NP_116715.3
YGL263W,NM_001181129.1,852628,NP_011251.1
YGL262W,NM_001181128.1,852629,NP_011252.1
YGL261C,NM_001181127.1,852630,NP_011253.1
YGL260W,NM_001181126.1,852631,NP_011254.1
YGL259W,NM_001181125.1,852632,NP_011255.1
YGL258W-A,NM_001184473.1,852633,NP_076890.1
YGL258W,NM_001181124.1,852634,NP_011256.1
YGL257C,NM_001181123.1,852635,NP_011257.1
YGL256W,NM_001181122.1,852636,NP_011258.2
YGL255W,NM_001181121.1,852637,NP_011259.1
YGL254W,NM_001181120.1,852638,NP_011260.1
YGL253W,NM_001181119.1,852639,NP_011261.1
YGL252C,NM_001181118.1,852640,NP_011262.1
YGL251C,NM_001181117.1,852641,NP_011263.2
YGL251C,NM_001181117.1,852641,NP_011263.2
YGL250W,NM_001181116.1,852642,NP_011264.2
YGL249W,NM_001181115.1,852643,NP_011265.1
YGL248W,NM_001181114.1,852644,NP_011266.1
YGL247W,NM_001181113.1,852645,NP_011267.1
YGL246C,NM_001181112.1,852646,NP_011268.1
YGL245W,NM_001181111.1,852606,NP_011269.2
YGL244W,NM_001181110.1,852607,NP_011270.1
YGL243W,NM_001181109.1,852608,NP_011271.1
YGL242C,NM_001181108.1,852609,NP_011272.1
YGL241W,NM_001181107.1,852610,NP_011273.1
YGL240W,NM_001181106.1,852611,NP_011274.2
YGL238W,NM_001181104.1,852612,NP_011276.1
YGL237C,NM_001181103.1,852614,NP_011277.1
YGL236C,NM_001181102.1,852616,NP_011278.2
YGL235W,NM_001181101.1,852615,NP_011279.1
YGL234W,NM_001181100.1,852617,NP_011280.1
YGL233W,NM_001181099.1,852618,NP_011281.1
YGL232W,NM_001181098.1,852619,NP_011282.1
YGL232W,NM_001181098.1,852619,NP_011282.1
YGL231C,NM_001181097.1,852620,NP_011283.1
YGL230C,NM_001181096.1,852621,NP_011284.1
YGL229C,NM_001181095.1,852622,NP_011285.1
YGL228W,NM_001181094.1,852623,NP_011286.1
YGL227W,NM_001181093.1,852624,NP_011287.1
YGL226C-A,NM_001181091.1,852625,NP_011288.1
YGL226C-A,NM_001181091.1,852625,NP_011288.1
YGL226W,NM_001181092.1,852626,NP_011289.1
YGL225W,NM_001181090.1,852647,NP_011290.1
YGL224C,NM_001181089.1,852648,NP_011291.1
YGL223C,NM_001181088.1,852649,NP_011292.1
YGL222C,NM_001181087.1,852650,NP_011293.1
YGL221C,NM_001181086.1,852651,NP_011294.1
YGL220W,NM_001181085.1,852652,NP_011295.1
YGL219C,NM_001181084.1,852654,NP_011296.1
YGL216W,NM_001181081.1,852655,NP_011299.1
YGL215W,NM_001181080.1,852657,NP_011300.1
YGL213C,NM_001181078.1,852659,NP_011302.1
YGL212W,NM_001181077.1,852660,NP_011303.1
YGL211W,NM_001181076.1,852661,NP_011304.2
YGL210W,NM_001181075.1,852662,NP_011305.1
YGL209W,NM_001181074.1,852663,NP_011306.1
YGL208W,NM_001181073.2,852664,NP_011307.1
YGL207W,NM_001181072.1,852665,NP_011308.1
YGL206C,NM_001181071.1,852666,NP_011309.1
YGL205W,NM_001181070.1,852667,NP_011310.1
YGL204C,NM_001270746.1,852669,NP_001257675.1
YGL203C,NM_001181068.1,852670,NP_011312.1
YGL202W,NM_001181067.1,852672,NP_011313.1
YGL201C,NM_001181066.1,852673,NP_011314.2
YGL200C,NM_001181065.3,852675,NP_011315.3
YGL198W,NM_001181063.1,852676,NP_011317.2
YGL197W,NM_001181062.2,852678,NP_011318.2
YGL196W,NM_001181061.1,852679,NP_011319.2
YGL195W,NM_001181060.3,852680,NP_011320.3
YGL194C-A,NM_001184677.1,3799973,NP_001032578.1
YGL194C,NM_001181059.1,852681,NP_011321.1
YGL193C,NM_001181058.1,852682,NP_011322.1
YGL192W,NM_001181057.3,852683,NP_011323.3
YGL191W,NM_001181056.1,852684,NP_011324.1
YGL190C,NM_001181055.1,852685,NP_011325.1
YGL189C,NM_001181054.1,852686,NP_011326.1
YGL188C-A,NM_001184593.3,1466453,NP_878073.3
YGL187C,NM_001181052.1,852688,NP_011328.1
YGL186C,NM_001181051.1,852689,NP_011329.1
YGL185C,NM_001181050.1,852690,NP_011330.1
YGL184C,NM_001181049.3,852691,NP_011331.3
YGL183C,NM_001181048.1,852692,NP_011332.2
YGL183C,NM_001181048.1,852692,NP_011332.2
YGL181W,NM_001181046.1,852694,NP_011334.1
YGL180W,NM_001181045.1,852695,NP_011335.1
YGL179C,NM_001181044.3,852696,NP_011336.3
YGL178W,NM_001181043.1,852697,NP_011337.1
YGL178W,NM_001181043.1,852697,NP_011337.1
YGL176C,NM_001181041.1,852699,NP_011339.1
YGL175C,NM_001181040.1,852700,NP_011340.1
YGL174W,NM_001181039.3,852701,NP_011341.3
YGL173C,NM_001181038.1,852702,NP_011342.1
YGL172W,NM_001181037.1,852703,NP_011343.1
YGL171W,NM_001181036.1,852704,NP_011344.1
YGL170C,NM_001181035.3,852705,NP_011345.3
YGL169W,NM_001181034.1,852707,NP_011346.1
YGL168W,NM_001181033.1,852708,NP_011347.1
YGL167C,NM_001181032.1,852709,NP_011348.1
YGL166W,NM_001181031.3,852710,NP_011349.3
YGL164C,NM_001181029.1,852712,NP_011351.1
YGL163C,NM_001181028.1,852713,NP_011352.1
YGL162W,NM_001181027.1,852714,NP_011353.1
YGL161C,NM_001181026.3,852715,NP_011354.3
YGL160W,NM_001181025.1,852716,NP_011355.1
YGL159W,NM_001181024.1,852717,NP_011356.1
YGL158W,NM_001181023.1,852719,NP_011357.1
YGL157W,NM_001181022.3,852720,NP_011358.3
YGL156W,NM_001181021.1,852721,NP_011359.1
YGL155W,NM_001181020.1,852722,NP_011360.1
YGL154C,NM_001181019.1,852723,NP_011361.1
YGL153W,NM_001181018.3,852724,NP_011362.3
YGL151W,NM_001181016.1,852726,NP_011364.1
YGL150C,NM_001181015.1,852728,NP_011365.1
YGL149W,NM_001348834.1,852727,NP_001335775.1
YGL148W,NM_001181013.1,852729,NP_011367.1
YGL147C,NM_001181012.3,852730,NP_011368.3
YGL146C,NM_001181011.1,852731,NP_011369.1
YGL145W,NM_001181010.2,852732,NP_116577.1
YGL144C,NM_001181009.1,852733,NP_011371.1
YGL143C,NM_001181008.3,852734,NP_011372.3
YGL142C,NM_001181007.1,852735,NP_011373.1
YGL141W,NM_001181006.1,852736,NP_011374.1
YGL140C,NM_001181005.1,852737,NP_011375.1
YGL139W,NM_001181004.3,852738,NP_011376.3
YGL138C,NM_001181003.1,852739,NP_011377.1
YGL137W,NM_001181002.1,852740,NP_011378.1
YGL137W,NM_001181002.1,852740,NP_011378.1
YGL136C,NM_001181001.1,852741,NP_011379.1
YGL135W,NM_001181000.3,852742,NP_011380.3
YGL134W,NM_001180999.1,852743,NP_011381.1
YGL133W,NM_001180998.1,852744,NP_011382.1
YGL131C,NM_001180996.1,852746,NP_011384.1
YGL130W,NM_001180995.3,852747,NP_011385.3
YGL129C,NM_001180994.2,852748,NP_011386.2
YGL128C,NM_001180993.1,852749,NP_011387.2
YGL127C,NM_001180992.1,852750,NP_011388.1
YGL126W,NM_001180991.3,852751,NP_011389.3
YGL125W,NM_001180990.1,852752,NP_011390.2
YGL124C,NM_001180989.2,852753,NP_011391.2
YGL123W,NM_001180988.1,852754,NP_011392.1
YGL122C,NM_001180987.3,852755,NP_011393.3
YGL121C,NM_001180986.1,852756,NP_011394.1
YGL120C,NM_001180985.1,852757,NP_011395.1
YGL119W,NM_001180984.1,852758,NP_011396.1
YGL118C,NM_001348835.1,852760,NP_001335776.1
YGL117W,NM_001180982.3,852761,NP_011398.3
YGL116W,NM_001180981.1,852762,NP_011399.1
YGL115W,NM_001180980.1,852763,NP_011400.1
YGL114W,NM_001180979.1,852764,NP_011401.1
YGL113W,NM_001180978.3,852765,NP_011402.3
YGL112C,NM_001180977.1,852766,NP_011403.1
YGL111W,NM_001180976.1,852767,NP_011404.1
YGL110C,NM_001180975.1,852768,NP_011405.1
YGL108C,NM_001180973.3,852770,NP_011407.3
YGL107C,NM_001180972.1,852771,NP_011408.1
YGL106W,NM_001180971.1,852772,NP_011409.1
YGL105W,NM_001180970.1,852773,NP_011410.1
YGL104C,NM_001180969.3,852774,NP_011411.3
YGL103W,NM_001180968.1,852775,NP_011412.1
YGL103W,NM_001180968.1,852775,NP_011412.1
YGL101W,NM_001180966.1,852777,NP_011414.1
YGL100W,NM_001180965.1,852778,NP_011415.1
YGL099W,NM_001180964.3,852779,NP_011416.3
YGL098W,NM_001180963.1,852780,NP_011417.1
YGL097W,NM_001180962.1,852782,NP_011418.1
YGL096W,NM_001180961.1,852783,NP_011419.1
YGL095C,NM_001180960.3,852785,NP_011420.3
YGL094C,NM_001180959.1,852786,NP_011421.1
YGL093W,NM_001180958.1,852787,NP_011422.1
YGL092W,NM_001180957.1,852788,NP_011423.1
YGL091C,NM_001180956.3,852789,NP_011424.3
YGL090W,NM_001180955.1,852790,NP_011425.1
YGL089C,NM_001180954.1,852791,NP_011426.1
YGL088W,NM_001348836.1,852792,NP_001335777.1
YGL087C,NM_001180952.1,852793,NP_011428.1
YGL087C,NM_001180952.1,852793,NP_011428.1
YGL086W,NM_001180951.3,852794,NP_011429.3
YGL085W,NM_001180950.1,852795,NP_011430.1
YGL084C,NM_001180949.1,852796,NP_011431.1
